--- scanner 0 ---
654,-533,-962
-884,-676,-820
-862,-696,357
660,426,716
-165,52,-144
473,669,-617
-719,-647,-908
469,592,-457
458,-554,-972
-462,334,246
679,383,790
708,-533,665
-510,326,423
760,-612,639
-379,320,417
574,-633,645
-907,638,-667
11,10,-5
-835,-868,319
-859,-847,296
743,441,816
383,708,-456
604,-563,-949
-787,-613,-713
-881,730,-610
-951,701,-557

--- scanner 10 ---
543,570,-723
-368,-429,-659
791,-283,364
-7,90,64
785,-289,495
-476,-472,794
563,670,-589
-605,678,671
-422,717,-756
962,-297,447
418,-346,-694
-624,-594,813
912,884,844
-579,729,704
172,27,124
-427,700,644
889,905,820
-332,-457,-577
492,-389,-675
851,733,847
-487,-439,-492
-341,590,-826
569,649,-775
-517,-653,853
-327,741,-827
392,-404,-758
